source_dir,model,condition_canonical,condition_original,prompt_variant,mode,communication,philosophers,episodes,max_timesteps,temperature,memory_window,communication_rounds,deadlock_terminal,deadlock_rate,deadlock_count,deadlock_ci_low,deadlock_ci_high,avg_throughput,std_throughput,throughput_ci_half,avg_fairness,std_fairness,fairness_ci_half,avg_starvation_count,avg_time_to_deadlock,avg_timesteps,total_deadlock_events,message_action_consistency,total_llm_calls,avg_latency_ms,total_tokens_in,total_tokens_out,total_tokens,runtime_seconds,dpbench_version
v0.1.0_full_20260126_213124,claude-opus-4.5,seq_n5_comm,seq5c,default,sequential,True,5,20,30,0.7,0,1,True,0.0,0,0.0,0.1611301254949332,0.1866666666666667,0.019436506316151007,0.009096564966430434,0.7291666666666667,0.13037073205968355,0.06101538077944319,0.5,,30.0,,45.732484076433124,2600,5781.680146730528,1223504,483491,1706995,3455.233568,0.1.0
v0.1.0_full_20260126_213124,claude-opus-4.5,seq_n5_nocomm,seq5nc,default,sequential,False,5,20,30,0.7,0,0,True,0.6,12,0.3865779423152061,0.7811960325858074,0.07833333333333334,0.09676718911329858,0.04528843857378455,0.8901190476190475,0.16444311817660928,0.0769617483432665,3.2,5.0,15.0,,,1100,5118.735425909399,361847,167407,529254,1555.800864,0.1.0
v0.1.0_full_20260126_213124,claude-opus-4.5,sim_n5_comm,sim5c,default,simultaneous,True,5,20,30,0.7,0,1,True,0.6,12,0.3865779423152061,0.7811960325858074,0.554222575669944,0.138935757538418,0.06502393609484458,0.7174425647451963,0.13267973606522487,0.06209602791851783,0.65,15.666666666666666,21.4,,42.93398533007335,2140,6150.219132383511,1013040,429637,1442677,3447.938154,0.1.0
v0.1.0_full_20260126_213124,claude-opus-4.5,sim_n5_nocomm,sim5nc,default,simultaneous,False,5,20,30,0.7,0,0,True,0.55,11,0.3420820083075997,0.7418049791429071,0.4549412809412809,0.16633785957255978,0.07784851461301151,0.6188698107448106,0.17994979252633073,0.08421909533459836,1.4,12.727272727272727,20.5,,,2050,5245.46065229224,673932,326123,1000055,2829.096978,0.1.0
v0.1.0_full_20260126_213124,gpt-5.2,seq_n3_comm,seq3c,default,sequential,True,3,20,30,0.7,0,1,True,0.1,2,0.027865893984153206,0.30103820641179335,0.1275,0.0362380248419315,0.016959917686226872,0.7016666666666665,0.2178748366481188,0.10196856234770628,0.4,7.5,27.75,,27.439024390243905,1545,2431.6263955354716,694206,148770,842976,1343.299497,0.1.0
v0.1.0_full_20260126_213124,gpt-5.2,seq_n3_nocomm,seq3nc,default,sequential,False,3,20,30,0.7,0,0,True,0.0,0,0.0,0.1611301254949332,0.10666666666666669,0.019999999999999997,0.00936028812839839,0.6166666666666667,0.26666666666666666,0.12480384171197857,0.55,,30.0,,,1680,1494.6282713096782,501080,80248,581328,901.151834,0.1.0
v0.1.0_full_20260126_213124,gpt-5.2,seq_n5_comm,seq5c,default,sequential,True,5,20,30,0.7,0,1,True,0.0,0,0.0,0.1611301254949332,0.14499999999999996,0.021794494717703363,0.010200137508528015,0.69,0.2526608398624528,0.11824891299378423,1.1,,30.0,,34.23534235342353,2600,2630.947598463569,1172511,253043,1425554,1583.978474,0.1.0
v0.1.0_full_20260126_213124,gpt-5.2,seq_n5_nocomm,seq5nc,default,sequential,False,5,20,30,0.7,0,0,True,0.0,0,0.0,0.1611301254949332,0.11500000000000002,0.024664414311581236,0.011543301223729662,0.5395833333333332,0.2093620435460492,0.09798445253706559,1.75,,30.0,,,2600,1587.259156500849,775382,127177,902559,957.917169,0.1.0
v0.1.0_full_20260126_213124,gpt-5.2,sim_n3_comm,sim3c,default,simultaneous,True,3,20,30,0.7,0,1,True,1.0,20,0.8388698745050668,0.9999999999999999,0.19049726589200272,0.11527162780180446,0.053948782462719426,0.3791666666666667,0.4499035390441427,0.2105613377719656,1.9,5.7,5.7,,42.24924012158054,342,2380.8565406409252,148786,30380,179166,327.401573,0.1.0
v0.1.0_full_20260126_213124,gpt-5.2,sim_n3_nocomm,sim3nc,default,simultaneous,False,3,20,30,0.7,0,0,True,0.95,19,0.7638641064874331,0.9911187805671268,0.24317765567765565,0.10544579529890982,0.049350151296295636,0.33277777777777773,0.3545423932930663,0.16593094774775213,1.6,7.947368421052632,9.05,,,543,1492.616137750807,161863,25361,187224,328.121408,0.1.0
v0.1.0_full_20260126_213124,gpt-5.2,sim_n5_comm,sim5c,default,simultaneous,True,5,20,30,0.7,0,1,True,0.65,13,0.43285051021946463,0.8188104521320554,0.4515330747683689,0.15332930400860936,0.07176032320236872,0.5266584967320261,0.224387483356598,0.1050165748311978,1.4,13.153846153846153,19.05,,28.940142778693023,1905,2601.735638162663,846960,179170,1026130,1252.27873,0.1.0
v0.1.0_full_20260126_213124,gpt-5.2,sim_n5_nocomm,sim5nc,default,simultaneous,False,5,20,30,0.7,0,0,True,0.25,5,0.11186005278940309,0.4687050099580636,0.44620634920634916,0.15501290106341062,0.07254827087862185,0.5758799717439422,0.20579639773559502,0.0963156789295822,1.15,11.8,25.45,,,2545,1626.393890923277,758815,125815,884630,1073.321619,0.1.0
v0.1.0_full_20260126_213124,grok-4.1,seq_n5_nocomm,seq5nc,default,sequential,False,5,20,30,0.7,0,0,True,0.25,5,0.11186005278940309,0.4687050099580636,0.11166666666666669,0.07092640943651071,0.033194581411924745,0.6545833333333333,0.29558645802314204,0.13833872069746733,2.35,5.0,23.75,,,1975,9989.190211948831,867921,98580,966501,4902.00643,0.1.0
v0.1.0_full_20260126_213124,grok-4.1,sim_n5_comm,sim5c,default,simultaneous,True,5,20,30,0.7,0,1,True,0.6,12,0.3865779423152061,0.7811960325858074,0.4379129284564067,0.2566111403372214,0.12009771052566337,0.7433280352688246,0.19019428880464834,0.08901366717936626,1.55,11.166666666666666,18.7,,43.910614525139664,1870,12039.23849973284,1025809,124033,1149842,7690.379943,0.1.0
v0.1.0_full_20260126_213124,grok-4.1,sim_n5_nocomm,sim5nc,default,simultaneous,False,5,20,30,0.7,0,0,True,0.7,14,0.4810232237710206,0.854524726031006,0.4365423367286406,0.17091592549431137,0.07999111541793134,0.5781586318738021,0.26672973560730195,0.12483335888479354,1.45,14.214285714285714,18.95,,,1895,9234.61743741346,832388,92152,924540,6090.909432,0.1.0
v0.2.0_20260330_100109,random,seq_n5_nocomm,seq_n5_nocomm,default,sequential,False,5,30,,,0,0,True,0.0,0,0.0,0.113517091390478,0.04777777777777779,0.03818408950542129,0.014258173347844877,0.42083333333333334,0.3879477699668117,0.14486207804722723,3.6333333333333333,,28.5,0,,3675,0.0045378228291539716,,,,1.742213,0.2.0
v0.2.0_20260330_100109,random,sim_n10_nocomm,sim_n10_nocomm,default,simultaneous,False,10,30,,,0,0,True,0.0,0,0.0,0.113517091390478,0.5911111111111111,0.11415821812481175,0.042627379209174476,0.6296820099136848,0.09114044156127087,0.034032400185821536,1.1666666666666667,,30.0,0,,9000,0.00276525553716864,,,,5.856902,0.2.0
v0.2.0_20260330_100109,random,sim_n5_comm,sim_n5_comm,default,simultaneous,True,5,30,,,0,1,True,0.06666666666666667,2,0.018476635327693364,0.2132381772107209,0.31922558922558936,0.07199806674979647,0.026884519959093318,0.6711328486328487,0.16036846440231375,0.05988256875029687,0.5666666666666667,15.5,29.033333333333335,0,,4355,0.003299379864831623,,,,4.373844,0.2.0
v0.2.0_20260330_100109,random,sim_n5_nocomm,sim_n5_nocomm,default,simultaneous,False,5,30,,,0,0,True,0.13333333333333333,4,0.05309569424218104,0.2968168394441695,0.3033028083028083,0.07912902554008124,0.029547263732354764,0.567927859177859,0.1807158354310125,0.06748040195930696,0.8333333333333334,14.25,27.9,0,,4185,0.002573811600158345,,,,3.243339,0.2.0
v0.2.0_20260330_100459,gemini-2.5-flash,seq_n5_nocomm,seq_n5_nocomm,default,sequential,False,5,30,,,0,0,True,0.0,0,0.0,0.113517091390478,0.056666666666666664,0.06619276003825102,0.02471678280723926,0.7461111111111112,0.3188574316656193,0.11906332173486879,3.7333333333333334,,15.5,0,,1725,1512.7558373915626,524970,103670,628640,661.56609,0.2.0
v0.2.0_20260330_100459,gemini-2.5-flash,sim_n10_nocomm,sim_n10_nocomm,default,simultaneous,False,10,30,,,0,0,True,0.1,3,0.034599259959716175,0.2562144131526662,1.1107114624505927,0.21864991229911268,0.08164521905410906,0.6601851766476644,0.09277509445671332,0.034642789608449145,1.0333333333333334,15.333333333333334,28.533333333333335,0,,8560,1682.431588983924,2613972,568135,3182107,14414.249726,0.2.0
v0.2.0_20260330_100459,gemini-2.5-flash,sim_n5_comm,sim_n5_comm,default,simultaneous,True,5,30,,,0,1,True,0.8666666666666667,26,0.7031831605558306,0.9469043057578189,0.14102707749766571,0.22253350605820668,0.08309537679643021,0.8822807017543859,0.22548930101962783,0.08419908877402354,3.8333333333333335,3.0,6.6,0,70.55555555555556,990,2280.2786022226555,406838,98503,505341,2260.539032,0.2.0
v0.2.0_20260330_100459,gemini-2.5-flash,sim_n5_nocomm,sim_n5_nocomm,default,simultaneous,False,5,30,,,0,0,True,0.9,27,0.7437855868473339,0.9654007400402839,0.14587757708447363,0.23276832505957362,0.08691712102014904,0.8296785161432995,0.2846794752431169,0.10630106306485547,3.966666666666667,4.111111111111111,6.7,0,,1005,1687.5119103482502,305729,61067,366796,1698.692512,0.2.0
v0.2.0_20260330_175114,llama-4-maverick,seq_n5_nocomm,seq_n5_nocomm,default,sequential,False,5,30,,,0,0,True,0.0,0,0.0,0.113517091390478,0.09333333333333331,0.077650689820694,0.02899524410254687,0.9094444444444445,0.13407317883883646,0.05006374775308777,2.3,,20.0,0,,2400,2489.5146521665934,733640,188422,922062,1541.375888,0.2.0
v0.2.0_20260330_175114,llama-4-maverick,sim_n10_nocomm,sim_n10_nocomm,default,simultaneous,False,10,30,,,0,0,True,0.16666666666666666,5,0.07336434240351686,0.33564705185680177,0.8348484848484848,0.3533189092123133,0.13193144893255582,0.7303226929340928,0.14505756695652636,0.054165385684765935,1.9333333333333333,3.0,25.5,0,,7650,3079.0231417782234,2338845,651260,2990105,23566.030402,0.2.0
v0.2.0_20260330_175114,llama-4-maverick,sim_n5_comm,sim_n5_comm,default,simultaneous,True,5,30,,,0,1,True,0.9333333333333333,28,0.7867618227892791,0.9815233646723066,0.09156819026384243,0.20701815131180837,0.07730184812014616,0.9438904450669157,0.13407820222808825,0.050065623517461716,4.3,2.7142857142857144,4.533333333333333,0,86.89320388349515,680,3267.8383224994723,277381,66012,343393,2223.855916,0.2.0
v0.2.0_20260330_175114,llama-4-maverick,sim_n5_nocomm,sim_n5_nocomm,default,simultaneous,False,5,30,,,0,0,True,0.7666666666666667,23,0.5907132766967574,0.8820776078949878,0.2705195729448657,0.29366160294046645,0.1096550446681907,0.8422585978835978,0.18392743788879012,0.06867963402586852,2.933333333333333,6.217391304347826,11.766666666666667,0,,1765,2774.0129009062007,539442,143027,682469,4899.527705,0.2.0
v0.2.0_20260403_180607,gemini-2.5-flash,prompt_minimal,prompt_minimal,minimal,simultaneous,False,5,20,,,0,0,True,1.0,20,0.8388698745050668,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0,,100,710.5802219954785,24800,3854,28654,71.564982,0.2.0
v0.2.0_20260403_180607,gemini-2.5-flash,prompt_resource_ordering,prompt_resource_ordering,resource_ordering,simultaneous,False,5,20,,,0,0,True,0.0,0,0.0,0.1611301254949332,0.7333333333333332,1.1102230246251565e-16,5.196003698636705e-17,0.40909090909090917,0.0,0.0,2.0,,30.0,0,,3000,816.6723316011485,1048020,152652,1200672,2454.829108,0.2.0
