model,model_display,row_type,episode_id,deadlock,total_timesteps,action_label,action_count,action_share,total_actions
claude-opus-4.5,Claude Opus 4.5,episode,0,0,30,,,,
claude-opus-4.5,Claude Opus 4.5,episode,1,0,30,,,,
claude-opus-4.5,Claude Opus 4.5,episode,2,1,5,,,,
claude-opus-4.5,Claude Opus 4.5,episode,3,0,30,,,,
claude-opus-4.5,Claude Opus 4.5,episode,4,1,5,,,,
claude-opus-4.5,Claude Opus 4.5,episode,5,1,5,,,,
claude-opus-4.5,Claude Opus 4.5,episode,6,1,5,,,,
claude-opus-4.5,Claude Opus 4.5,episode,7,0,30,,,,
claude-opus-4.5,Claude Opus 4.5,episode,8,0,30,,,,
claude-opus-4.5,Claude Opus 4.5,episode,9,1,5,,,,
claude-opus-4.5,Claude Opus 4.5,episode,10,0,30,,,,
claude-opus-4.5,Claude Opus 4.5,episode,11,0,30,,,,
claude-opus-4.5,Claude Opus 4.5,episode,12,1,5,,,,
claude-opus-4.5,Claude Opus 4.5,episode,13,1,5,,,,
claude-opus-4.5,Claude Opus 4.5,episode,14,1,5,,,,
claude-opus-4.5,Claude Opus 4.5,episode,15,1,5,,,,
claude-opus-4.5,Claude Opus 4.5,episode,16,1,5,,,,
claude-opus-4.5,Claude Opus 4.5,episode,17,0,30,,,,
claude-opus-4.5,Claude Opus 4.5,episode,18,1,5,,,,
claude-opus-4.5,Claude Opus 4.5,episode,19,1,5,,,,
claude-opus-4.5,Claude Opus 4.5,action,,,,grab_left,264,0.24,1100
claude-opus-4.5,Claude Opus 4.5,action,,,,grab_right,321,0.2918181818181818,1100
claude-opus-4.5,Claude Opus 4.5,action,,,,release,280,0.2545454545454545,1100
claude-opus-4.5,Claude Opus 4.5,action,,,,wait,235,0.21363636363636362,1100
gemini-2.5-flash,Gemini 2.5 Flash,episode,0,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,1,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,2,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,3,0,30,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,4,0,30,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,5,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,6,0,20,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,7,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,8,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,9,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,10,0,30,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,11,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,12,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,13,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,14,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,15,0,30,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,16,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,17,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,18,0,30,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,19,0,30,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,20,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,21,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,22,0,30,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,23,0,30,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,24,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,25,0,5,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,26,0,30,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,27,0,30,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,28,0,30,,,,
gemini-2.5-flash,Gemini 2.5 Flash,episode,29,0,30,,,,
gemini-2.5-flash,Gemini 2.5 Flash,action,,,,grab_left,570,0.33043478260869563,1725
gemini-2.5-flash,Gemini 2.5 Flash,action,,,,grab_right,263,0.15246376811594203,1725
gemini-2.5-flash,Gemini 2.5 Flash,action,,,,release,472,0.2736231884057971,1725
gemini-2.5-flash,Gemini 2.5 Flash,action,,,,wait,420,0.24347826086956523,1725
