source_dir,model,condition_canonical,condition_original,prompt_variant,mode,communication,philosophers,episodes,max_timesteps,temperature,memory_window,communication_rounds,deadlock_terminal,deadlock_rate,deadlock_count,deadlock_ci_low,deadlock_ci_high,avg_throughput,std_throughput,throughput_ci_half,avg_fairness,std_fairness,fairness_ci_half,avg_starvation_count,avg_time_to_deadlock,avg_timesteps,total_deadlock_events,message_action_consistency,total_llm_calls,avg_latency_ms,total_tokens_in,total_tokens_out,total_tokens,runtime_seconds,dpbench_version
v0.1.0_full_20260126_213124,claude-opus-4.5,sim_n5_nocomm,sim5nc,default,simultaneous,False,5,20,30,0.7,0,0,True,0.55,11,0.3420820083075997,0.7418049791429071,0.4549412809412809,0.16633785957255978,0.07784851461301151,0.6188698107448106,0.17994979252633073,0.08421909533459836,1.4,12.727272727272727,20.5,,,2050,5245.46065229224,673932,326123,1000055,2829.096978,0.1.0
v0.1.0_full_20260126_213124,gpt-5.2,sim_n5_nocomm,sim5nc,default,simultaneous,False,5,20,30,0.7,0,0,True,0.25,5,0.11186005278940309,0.4687050099580636,0.44620634920634916,0.15501290106341062,0.07254827087862185,0.5758799717439422,0.20579639773559502,0.0963156789295822,1.15,11.8,25.45,,,2545,1626.393890923277,758815,125815,884630,1073.321619,0.1.0
v0.1.0_full_20260126_213124,grok-4.1,sim_n5_nocomm,sim5nc,default,simultaneous,False,5,20,30,0.7,0,0,True,0.7,14,0.4810232237710206,0.854524726031006,0.4365423367286406,0.17091592549431137,0.07999111541793134,0.5781586318738021,0.26672973560730195,0.12483335888479354,1.45,14.214285714285714,18.95,,,1895,9234.61743741346,832388,92152,924540,6090.909432,0.1.0
v0.2.0_20260330_100109,random,sim_n10_nocomm,sim_n10_nocomm,default,simultaneous,False,10,30,,,0,0,True,0.0,0,0.0,0.113517091390478,0.5911111111111111,0.11415821812481175,0.042627379209174476,0.6296820099136848,0.09114044156127087,0.034032400185821536,1.1666666666666667,,30.0,0,,9000,0.00276525553716864,,,,5.856902,0.2.0
v0.2.0_20260330_100109,random,sim_n5_nocomm,sim_n5_nocomm,default,simultaneous,False,5,30,,,0,0,True,0.13333333333333333,4,0.05309569424218104,0.2968168394441695,0.3033028083028083,0.07912902554008124,0.029547263732354764,0.567927859177859,0.1807158354310125,0.06748040195930696,0.8333333333333334,14.25,27.9,0,,4185,0.002573811600158345,,,,3.243339,0.2.0
v0.2.0_20260330_100459,gemini-2.5-flash,sim_n10_nocomm,sim_n10_nocomm,default,simultaneous,False,10,30,,,0,0,True,0.1,3,0.034599259959716175,0.2562144131526662,1.1107114624505927,0.21864991229911268,0.08164521905410906,0.6601851766476644,0.09277509445671332,0.034642789608449145,1.0333333333333334,15.333333333333334,28.533333333333335,0,,8560,1682.431588983924,2613972,568135,3182107,14414.249726,0.2.0
v0.2.0_20260330_100459,gemini-2.5-flash,sim_n5_comm,sim_n5_comm,default,simultaneous,True,5,30,,,0,1,True,0.8666666666666667,26,0.7031831605558306,0.9469043057578189,0.14102707749766571,0.22253350605820668,0.08309537679643021,0.8822807017543859,0.22548930101962783,0.08419908877402354,3.8333333333333335,3.0,6.6,0,70.55555555555556,990,2280.2786022226555,406838,98503,505341,2260.539032,0.2.0
v0.2.0_20260330_100459,gemini-2.5-flash,sim_n5_nocomm,sim_n5_nocomm,default,simultaneous,False,5,30,,,0,0,True,0.9,27,0.7437855868473339,0.9654007400402839,0.14587757708447363,0.23276832505957362,0.08691712102014904,0.8296785161432995,0.2846794752431169,0.10630106306485547,3.966666666666667,4.111111111111111,6.7,0,,1005,1687.5119103482502,305729,61067,366796,1698.692512,0.2.0
v0.2.0_20260330_175114,llama-4-maverick,sim_n10_nocomm,sim_n10_nocomm,default,simultaneous,False,10,30,,,0,0,True,0.16666666666666666,5,0.07336434240351686,0.33564705185680177,0.8348484848484848,0.3533189092123133,0.13193144893255582,0.7303226929340928,0.14505756695652636,0.054165385684765935,1.9333333333333333,3.0,25.5,0,,7650,3079.0231417782234,2338845,651260,2990105,23566.030402,0.2.0
v0.2.0_20260330_175114,llama-4-maverick,sim_n5_nocomm,sim_n5_nocomm,default,simultaneous,False,5,30,,,0,0,True,0.7666666666666667,23,0.5907132766967574,0.8820776078949878,0.2705195729448657,0.29366160294046645,0.1096550446681907,0.8422585978835978,0.18392743788879012,0.06867963402586852,2.933333333333333,6.217391304347826,11.766666666666667,0,,1765,2774.0129009062007,539442,143027,682469,4899.527705,0.2.0
