episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,30,False,5,0.16666666666666666,0.5999999999999999,2;1;0;1;1
1,30,False,6,0.2,0.5833333333333331,2;1;2;1;0
2,5,True,0,0.0,1.0,0;0;0;0;0
3,30,False,5,0.16666666666666666,1.0,1;1;1;1;1
4,5,True,0,0.0,1.0,0;0;0;0;0
5,5,True,0,0.0,1.0,0;0;0;0;0
6,5,True,0,0.0,1.0,0;0;0;0;0
7,30,False,6,0.2,0.8333333333333334,2;1;1;1;1
8,30,False,7,0.23333333333333334,0.7857142857142856,2;1;2;1;1
9,5,True,0,0.0,1.0,0;0;0;0;0
10,30,False,6,0.2,0.5833333333333331,2;1;2;0;1
11,30,False,6,0.2,0.5833333333333331,2;1;2;1;0
12,5,True,0,0.0,1.0,0;0;0;0;0
13,5,True,0,0.0,1.0,0;0;0;0;0
14,5,True,0,0.0,1.0,0;0;0;0;0
15,5,True,0,0.0,1.0,0;0;0;0;0
16,5,True,0,0.0,1.0,0;0;0;0;0
17,30,False,6,0.2,0.8333333333333334,2;1;1;1;1
18,5,True,0,0.0,1.0,0;0;0;0;0
19,5,True,0,0.0,1.0,0;0;0;0;0
