episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,11,True,4,0.36363636363636365,0.375,2;1;1;0;0
1,18,True,8,0.4444444444444444,0.4375,3;0;3;2;0
2,25,True,12,0.48,0.7083333333333333,3;2;4;2;1
3,30,False,14,0.4666666666666667,0.4285714285714284,6;1;5;2;0
4,30,False,18,0.6,0.7222222222222221,5;4;3;5;1
5,6,True,3,0.5,0.4999999999999998,1;0;1;1;0
6,6,True,3,0.5,0.4999999999999998,1;1;0;1;0
7,1,True,0,0.0,1.0,0;0;0;0;0
8,30,False,16,0.5333333333333333,0.78125,4;4;4;3;1
9,20,True,12,0.6,0.625,4;2;3;3;0
10,1,True,0,0.0,1.0,0;0;0;0;0
11,30,False,13,0.43333333333333335,0.4999999999999998,5;3;4;1;0
12,18,True,8,0.4444444444444444,0.4999999999999998,1;3;3;1;0
13,30,False,20,0.6666666666666666,0.5999999999999999,7;3;5;5;0
14,13,True,6,0.46153846153846156,0.33333333333333326,3;0;2;1;0
15,30,False,16,0.5333333333333333,0.59375,6;4;3;3;0
16,30,False,13,0.43333333333333335,0.7307692307692306,2;3;3;4;1
17,21,True,12,0.5714285714285714,0.7916666666666665,3;2;3;3;1
18,30,False,16,0.5333333333333333,0.59375,5;2;5;4;0
19,30,False,16,0.5333333333333333,0.6562499999999998,5;4;3;4;0
