episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,3,True,0,0.0,1.0,0;0;0
1,30,False,4,0.13333333333333333,0.7499999999999999,1;2;1
2,30,False,4,0.13333333333333333,0.7499999999999999,1;2;1
3,30,False,4,0.13333333333333333,0.7499999999999999,2;1;1
4,30,False,5,0.16666666666666666,0.8,2;1;2
5,30,False,5,0.16666666666666666,0.8,2;1;2
6,30,False,4,0.13333333333333333,0.4999999999999998,2;2;0
7,12,True,1,0.08333333333333333,0.0,0;0;1
8,30,False,4,0.13333333333333333,0.4999999999999998,2;0;2
9,30,False,4,0.13333333333333333,0.7499999999999999,1;2;1
10,30,False,4,0.13333333333333333,0.7499999999999999,1;1;2
11,30,False,4,0.13333333333333333,0.7499999999999999,2;1;1
12,30,False,5,0.16666666666666666,0.8,1;2;2
13,30,False,3,0.1,0.33333333333333337,0;2;1
14,30,False,3,0.1,1.0,1;1;1
15,30,False,4,0.13333333333333333,0.7499999999999999,1;1;2
16,30,False,4,0.13333333333333333,0.7499999999999999,1;2;1
17,30,False,5,0.16666666666666666,0.8,2;1;2
18,30,False,4,0.13333333333333333,0.7499999999999999,1;2;1
19,30,False,4,0.13333333333333333,0.7499999999999999,1;2;1
