episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,30,False,4,0.13333333333333333,0.7499999999999999,1;1;2
1,30,False,3,0.1,0.33333333333333337,2;1;0
2,30,False,4,0.13333333333333333,0.4999999999999998,2;2;0
3,30,False,3,0.1,0.33333333333333337,2;1;0
4,30,False,3,0.1,0.33333333333333337,2;1;0
5,30,False,3,0.1,0.33333333333333337,1;2;0
6,30,False,3,0.1,1.0,1;1;1
7,30,False,3,0.1,1.0,1;1;1
8,30,False,3,0.1,1.0,1;1;1
9,30,False,2,0.06666666666666667,0.4999999999999998,1;0;1
10,30,False,3,0.1,1.0,1;1;1
11,30,False,4,0.13333333333333333,0.7499999999999999,1;2;1
12,30,False,2,0.06666666666666667,0.4999999999999998,1;1;0
13,30,False,3,0.1,0.33333333333333337,2;0;1
14,30,False,4,0.13333333333333333,0.7499999999999999,1;1;2
15,30,False,3,0.1,1.0,1;1;1
16,30,False,3,0.1,0.33333333333333337,0;2;1
17,30,False,4,0.13333333333333333,0.4999999999999998,2;0;2
18,30,False,4,0.13333333333333333,0.7499999999999999,2;1;1
19,30,False,3,0.1,0.33333333333333337,1;0;2
