episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,30,False,3,0.1,0.4999999999999998,1;1;0;1;0
1,30,False,4,0.13333333333333333,0.75,1;1;0;1;1
2,30,False,2,0.06666666666666667,0.2499999999999999,0;1;0;1;0
3,30,False,3,0.1,0.4999999999999998,1;0;1;1;0
4,30,False,5,0.16666666666666666,1.0,1;1;1;1;1
5,30,False,4,0.13333333333333333,0.375,1;1;0;2;0
6,30,False,3,0.1,0.4999999999999998,1;1;0;1;0
7,30,False,3,0.1,0.4999999999999998,1;0;1;1;0
8,30,False,4,0.13333333333333333,0.75,1;1;1;1;0
9,30,False,4,0.13333333333333333,0.375,1;1;0;2;0
10,30,False,2,0.06666666666666667,0.2499999999999999,1;0;0;1;0
11,30,False,3,0.1,0.4999999999999998,1;1;0;0;1
12,30,False,4,0.13333333333333333,0.375,1;0;2;0;1
13,30,False,3,0.1,0.4999999999999998,1;0;1;1;0
14,30,False,3,0.1,0.16666666666666652,0;1;0;2;0
15,30,False,4,0.13333333333333333,0.75,1;1;0;1;1
16,30,False,3,0.1,0.4999999999999998,1;0;1;1;0
17,30,False,4,0.13333333333333333,0.75,0;1;1;1;1
18,30,False,4,0.13333333333333333,0.75,1;1;1;0;1
19,30,False,4,0.13333333333333333,0.75,1;1;0;1;1
