episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,19,True,6,0.3157894736842105,0.4999999999999998,4;1;1
1,1,True,0,0.0,1.0,0;0;0
2,15,True,4,0.26666666666666666,0.7499999999999999,1;1;2
3,6,True,1,0.16666666666666666,0.0,1;0;0
4,4,True,1,0.25,0.0,1;0;0
5,1,True,0,0.0,1.0,0;0;0
6,4,True,1,0.25,0.0,1;0;0
7,10,True,3,0.3,1.0,1;1;1
8,4,True,1,0.25,0.0,1;0;0
9,6,True,1,0.16666666666666666,0.0,1;0;0
10,7,True,2,0.2857142857142857,0.0,2;0;0
11,7,True,2,0.2857142857142857,0.0,2;0;0
12,11,True,3,0.2727272727272727,0.33333333333333337,1;2;0
13,1,True,0,0.0,1.0,0;0;0
14,4,True,1,0.25,0.0,1;0;0
15,1,True,0,0.0,1.0,0;0;0
16,1,True,0,0.0,1.0,0;0;0
17,4,True,1,0.25,0.0,1;0;0
18,4,True,1,0.25,0.0,1;0;0
19,4,True,1,0.25,0.0,1;0;0
