episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,4,True,1,0.25,0.0,1;0;0
1,13,True,4,0.3076923076923077,0.25,3;1;0
2,13,True,4,0.3076923076923077,0.4999999999999998,2;2;0
3,10,True,3,0.3,0.33333333333333337,2;1;0
4,28,True,9,0.32142857142857145,0.2222222222222221,7;2;0
5,1,True,0,0.0,1.0,0;0;0
6,4,True,1,0.25,0.0,0;1;0
7,1,True,0,0.0,1.0,0;0;0
8,4,True,1,0.25,0.0,1;0;0
9,1,True,0,0.0,1.0,0;0;0
10,10,True,3,0.3,0.0,3;0;0
11,4,True,1,0.25,0.0,0;0;1
12,10,True,3,0.3,0.33333333333333337,2;0;1
13,4,True,1,0.25,0.0,0;0;1
14,10,True,3,0.3,0.33333333333333337,2;0;1
15,7,True,2,0.2857142857142857,0.0,2;0;0
16,13,True,4,0.3076923076923077,0.7499999999999999,2;1;1
17,4,True,1,0.25,0.0,0;1;0
18,30,False,10,0.3333333333333333,0.5999999999999998,6;2;2
19,10,True,3,0.3,0.33333333333333337,2;0;1
