episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,30,False,5,0.16666666666666666,1.0,1;1;1;1;1
1,30,False,5,0.16666666666666666,0.5999999999999999,0;1;1;1;2
2,5,True,0,0.0,1.0,0;0;0;0;0
3,30,False,4,0.13333333333333333,0.375,2;0;0;1;1
4,5,True,0,0.0,1.0,0;0;0;0;0
5,30,False,5,0.16666666666666666,0.4,2;0;1;0;2
6,30,False,3,0.1,0.16666666666666652,2;0;0;1;0
7,30,False,5,0.16666666666666666,0.5999999999999999,2;1;1;1;0
8,5,True,0,0.0,1.0,0;0;0;0;0
9,30,False,3,0.1,0.16666666666666652,1;0;0;2;0
10,30,False,5,0.16666666666666666,0.5999999999999999,0;1;1;2;1
11,30,False,4,0.13333333333333333,0.75,1;1;1;1;0
12,30,False,3,0.1,0.16666666666666652,2;0;0;1;0
13,5,True,0,0.0,1.0,0;0;0;0;0
14,5,True,0,0.0,1.0,0;0;0;0;0
15,30,False,6,0.2,0.5833333333333331,2;1;2;1;0
16,30,False,3,0.1,0.4999999999999998,1;1;0;0;1
17,30,False,5,0.16666666666666666,1.0,1;1;1;1;1
18,30,False,5,0.16666666666666666,0.5999999999999999,2;0;1;1;1
19,30,False,6,0.2,0.5833333333333331,1;2;0;2;1
