episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,29,True,16,0.5517241379310345,0.8124999999999998,4;4;2;4;2
1,1,True,0,0.0,1.0,0;0;0;0;0
2,30,False,17,0.5666666666666667,0.7352941176470587,4;4;3;5;1
3,30,False,14,0.4666666666666667,0.5357142857142857,5;2;2;5;0
4,1,True,0,0.0,1.0,0;0;0;0;0
5,7,True,2,0.2857142857142857,0.0,2;0;0;0;0
6,30,False,19,0.6333333333333333,0.736842105263158,6;3;3;5;2
7,30,True,17,0.5666666666666667,0.8529411764705882,3;4;4;4;2
8,12,True,7,0.5833333333333334,0.7857142857142856,2;1;1;2;1
9,12,True,6,0.5,0.4999999999999998,3;0;1;1;1
10,30,False,18,0.6,0.6666666666666667,6;3;3;5;1
11,9,True,4,0.4444444444444444,0.375,2;1;0;1;0
12,17,True,8,0.47058823529411764,0.4375,4;0;2;1;1
13,26,True,12,0.46153846153846156,0.7083333333333333,4;2;3;1;2
14,30,False,16,0.5333333333333333,0.625,6;1;3;4;2
15,6,True,2,0.3333333333333333,0.2499999999999999,1;0;0;1;0
16,30,False,14,0.4666666666666667,0.5357142857142857,6;2;3;3;0
17,9,True,3,0.3333333333333333,0.16666666666666652,2;0;0;1;0
18,17,True,7,0.4117647058823529,0.2142857142857143,4;0;3;0;0
19,23,True,12,0.5217391304347826,0.625,4;2;1;4;1
