episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,25,False,0,0.0,1.0,0;0;0;0;0
1,30,False,3,0.1,0.4999999999999998,1;0;1;0;1
2,30,False,2,0.06666666666666667,0.2499999999999999,1;0;1;0;0
3,30,False,4,0.13333333333333333,0.75,1;1;0;1;1
4,30,False,2,0.06666666666666667,0.0,0;0;0;2;0
5,30,False,0,0.0,1.0,0;0;0;0;0
6,30,False,1,0.03333333333333333,0.0,0;1;0;0;0
7,30,False,1,0.03333333333333333,0.0,0;0;0;0;1
8,30,False,0,0.0,1.0,0;0;0;0;0
9,30,False,1,0.03333333333333333,0.0,1;0;0;0;0
10,30,False,2,0.06666666666666667,0.2499999999999999,1;0;0;1;0
11,30,False,1,0.03333333333333333,0.0,0;1;0;0;0
12,30,False,3,0.1,0.4999999999999998,0;0;1;1;1
13,30,False,1,0.03333333333333333,0.0,0;0;0;0;1
14,30,False,2,0.06666666666666667,0.2499999999999999,0;0;1;1;0
15,30,False,2,0.06666666666666667,0.2499999999999999,0;0;1;0;1
16,10,False,0,0.0,1.0,0;0;0;0;0
17,30,False,2,0.06666666666666667,0.2499999999999999,1;0;0;1;0
18,30,False,4,0.13333333333333333,0.375,1;1;0;0;2
19,30,False,1,0.03333333333333333,0.0,0;0;0;0;1
20,10,False,0,0.0,1.0,0;0;0;0;0
21,30,False,2,0.06666666666666667,0.2499999999999999,0;1;0;0;1
22,30,False,0,0.0,1.0,0;0;0;0;0
23,30,False,0,0.0,1.0,0;0;0;0;0
24,30,False,2,0.06666666666666667,0.2499999999999999,0;0;1;1;0
25,30,False,2,0.06666666666666667,0.2499999999999999,0;1;0;0;1
26,30,False,0,0.0,1.0,0;0;0;0;0
27,30,False,2,0.06666666666666667,0.2499999999999999,1;0;1;0;0
28,30,False,1,0.03333333333333333,0.0,0;1;0;0;0
29,30,False,2,0.06666666666666667,0.2499999999999999,0;0;1;0;1
