episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,30,False,8,0.26666666666666666,0.5624999999999999,2;0;1;2;3
1,30,False,12,0.4,0.625,4;4;1;2;1
2,30,False,8,0.26666666666666666,0.8124999999999998,2;1;2;2;1
3,22,True,10,0.45454545454545453,0.7999999999999998,2;2;1;2;3
4,9,True,2,0.2222222222222222,0.2499999999999999,0;1;1;0;0
5,30,False,8,0.26666666666666666,0.4375,0;2;3;0;3
6,30,False,13,0.43333333333333335,0.8846153846153845,2;3;3;3;2
7,30,False,9,0.3,0.5555555555555555,1;3;3;2;0
8,30,False,11,0.36666666666666664,0.7727272727272727,3;2;3;1;2
9,30,False,9,0.3,0.7222222222222221,1;2;2;1;3
10,30,False,8,0.26666666666666666,0.5624999999999999,2;3;2;0;1
11,30,False,8,0.26666666666666666,0.4375,4;1;2;1;0
12,30,False,7,0.23333333333333334,0.6428571428571428,1;2;2;0;2
13,30,False,12,0.4,0.8749999999999999,3;2;2;2;3
14,30,False,6,0.2,0.5833333333333331,0;1;2;1;2
15,30,False,9,0.3,0.7222222222222221,3;1;2;2;1
16,30,False,11,0.36666666666666664,0.9090909090909091,3;2;2;2;2
17,30,False,7,0.23333333333333334,0.7857142857142856,2;2;1;1;1
18,30,False,11,0.36666666666666664,0.7727272727272727,3;3;2;2;1
19,30,False,7,0.23333333333333334,0.6428571428571428,2;2;1;0;2
20,30,False,13,0.43333333333333335,0.8076923076923075,2;3;4;2;2
21,30,False,11,0.36666666666666664,0.9090909090909091,3;2;2;2;2
22,30,False,7,0.23333333333333334,0.7142857142857142,1;1;1;1;3
23,30,False,10,0.3333333333333333,0.6499999999999999,3;2;3;2;0
24,30,False,13,0.43333333333333335,0.5769230769230768,3;3;0;5;2
25,30,False,10,0.3333333333333333,0.5999999999999999,3;1;1;4;1
26,30,False,9,0.3,0.38888888888888884,0;3;0;2;4
27,30,False,11,0.36666666666666664,0.5454545454545453,3;1;4;0;3
28,30,False,8,0.26666666666666666,0.8124999999999998,2;1;1;2;2
29,30,False,11,0.36666666666666664,0.7727272727272727,3;3;2;1;2
