episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,7,True,2,0.2857142857142857,0.2499999999999999,0;0;1;1;0
1,1,True,0,0.0,1.0,0;0;0;0;0
2,1,True,0,0.0,1.0,0;0;0;0;0
3,12,True,6,0.5,0.33333333333333326,3;0;2;1;0
4,1,True,0,0.0,1.0,0;0;0;0;0
5,1,True,0,0.0,1.0,0;0;0;0;0
6,1,True,0,0.0,1.0,0;0;0;0;0
7,1,True,0,0.0,1.0,0;0;0;0;0
8,1,True,0,0.0,1.0,0;0;0;0;0
9,1,True,0,0.0,1.0,0;0;0;0;0
10,1,True,0,0.0,1.0,0;0;0;0;0
11,1,True,0,0.0,1.0,0;0;0;0;0
12,30,False,16,0.5333333333333333,0.9375,3;3;3;3;4
13,17,True,7,0.4117647058823529,0.4999999999999998,1;1;3;0;2
14,30,False,16,0.5333333333333333,0.8124999999999998,5;2;3;3;3
15,1,True,0,0.0,1.0,0;0;0;0;0
16,1,True,0,0.0,1.0,0;0;0;0;0
17,1,True,0,0.0,1.0,0;0;0;0;0
18,1,True,0,0.0,1.0,0;0;0;0;0
19,1,True,0,0.0,1.0,0;0;0;0;0
20,1,True,0,0.0,1.0,0;0;0;0;0
21,6,True,3,0.5,0.4999999999999998,1;1;0;1;0
22,30,False,19,0.6333333333333333,0.8684210526315788,3;5;3;4;4
23,1,True,0,0.0,1.0,0;0;0;0;0
24,1,True,0,0.0,1.0,0;0;0;0;0
25,30,False,15,0.5,0.8666666666666667,3;4;3;2;3
26,1,True,0,0.0,1.0,0;0;0;0;0
27,1,True,0,0.0,1.0,0;0;0;0;0
28,1,True,0,0.0,1.0,0;0;0;0;0
29,15,True,5,0.3333333333333333,0.4,2;2;0;1;0
