episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,1,True,0,0.0,1.0,0;0;0;0;0
1,1,True,0,0.0,1.0,0;0;0;0;0
2,18,True,10,0.5555555555555556,0.4999999999999998,4;1;2;3;0
3,1,True,0,0.0,1.0,0;0;0;0;0
4,1,True,0,0.0,1.0,0;0;0;0;0
5,1,True,0,0.0,1.0,0;0;0;0;0
6,30,False,17,0.5666666666666667,0.5588235294117646,6;5;2;4;0
7,1,True,0,0.0,1.0,0;0;0;0;0
8,29,True,16,0.5517241379310345,0.59375,4;5;2;5;0
9,1,True,0,0.0,1.0,0;0;0;0;0
10,7,True,2,0.2857142857142857,0.2499999999999999,1;1;0;0;0
11,1,True,0,0.0,1.0,0;0;0;0;0
12,1,True,0,0.0,1.0,0;0;0;0;0
13,1,True,0,0.0,1.0,0;0;0;0;0
14,1,True,0,0.0,1.0,0;0;0;0;0
15,1,True,0,0.0,1.0,0;0;0;0;0
16,30,False,19,0.6333333333333333,0.6842105263157894,4;6;5;1;3
17,4,True,1,0.25,0.0,0;1;0;0;0
18,1,True,0,0.0,1.0,0;0;0;0;0
19,1,True,0,0.0,1.0,0;0;0;0;0
20,1,True,0,0.0,1.0,0;0;0;0;0
21,1,True,0,0.0,1.0,0;0;0;0;0
22,1,True,0,0.0,1.0,0;0;0;0;0
23,30,False,16,0.5333333333333333,0.625,4;6;2;3;1
24,4,True,2,0.5,0.2499999999999999,1;0;0;1;0
25,1,True,0,0.0,1.0,0;0;0;0;0
26,1,True,0,0.0,1.0,0;0;0;0;0
27,1,True,0,0.0,1.0,0;0;0;0;0
28,1,True,0,0.0,1.0,0;0;0;0;0
29,28,True,14,0.5,0.4285714285714284,6;1;5;2;0
