episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,5,False,0,0.0,1.0,0;0;0;0;0
1,30,False,4,0.13333333333333333,0.75,1;1;1;0;1
2,5,False,0,0.0,1.0,0;0;0;0;0
3,5,False,0,0.0,1.0,0;0;0;0;0
4,30,False,4,0.13333333333333333,0.75,1;0;1;1;1
5,5,False,0,0.0,1.0,0;0;0;0;0
6,5,False,0,0.0,1.0,0;0;0;0;0
7,5,False,0,0.0,1.0,0;0;0;0;0
8,30,False,5,0.16666666666666666,1.0,1;1;1;1;1
9,5,False,0,0.0,1.0,0;0;0;0;0
10,30,False,4,0.13333333333333333,0.75,0;1;1;1;1
11,30,False,5,0.16666666666666666,1.0,1;1;1;1;1
12,30,False,5,0.16666666666666666,1.0,1;1;1;1;1
13,30,False,5,0.16666666666666666,1.0,1;1;1;1;1
14,30,False,5,0.16666666666666666,1.0,1;1;1;1;1
15,30,False,4,0.13333333333333333,0.75,0;1;1;1;1
16,30,False,4,0.13333333333333333,0.75,1;0;1;1;1
17,5,False,0,0.0,1.0,0;0;0;0;0
18,5,False,0,0.0,1.0,0;0;0;0;0
19,30,False,5,0.16666666666666666,0.5999999999999999,2;1;1;0;1
20,30,False,6,0.2,0.8333333333333334,1;2;1;1;1
21,30,False,5,0.16666666666666666,1.0,1;1;1;1;1
22,30,False,4,0.13333333333333333,0.75,0;1;1;1;1
23,30,False,4,0.13333333333333333,0.75,1;0;1;1;1
24,5,False,0,0.0,1.0,0;0;0;0;0
25,5,False,0,0.0,1.0,0;0;0;0;0
26,30,False,5,0.16666666666666666,1.0,1;1;1;1;1
27,5,False,0,0.0,1.0,0;0;0;0;0
28,30,False,5,0.16666666666666666,0.5999999999999999,1;0;1;2;1
29,30,False,5,0.16666666666666666,1.0,1;1;1;1;1
