episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,30,False,24,0.8,0.7314814814814816,5;2;3;3;3;2;2;1;2;1
1,30,False,31,1.0333333333333334,0.6953405017921147,6;4;4;2;4;2;4;3;2;0
2,30,False,36,1.2,0.7530864197530865,5;6;4;3;5;4;3;3;2;1
3,30,False,35,1.1666666666666667,0.8190476190476191,5;4;5;4;3;4;2;3;3;2
4,30,False,28,0.9333333333333333,0.8095238095238098,5;3;3;2;2;3;3;3;3;1
5,30,False,26,0.8666666666666667,0.6666666666666669,4;4;4;4;3;3;2;1;1;0
6,30,False,33,1.1,0.6464646464646465,4;4;5;7;2;4;3;3;1;0
7,30,False,28,0.9333333333333333,0.6825396825396827,2;5;5;2;4;3;3;2;2;0
8,30,False,27,0.9,0.6748971193415638,6;4;3;4;1;2;2;2;2;1
9,30,False,24,0.8,0.6944444444444445,2;1;4;4;2;1;4;3;2;1
10,1,True,0,0.0,1.0,0;0;0;0;0;0;0;0;0;0
11,30,False,29,0.9666666666666667,0.727969348659004,5;3;3;5;3;3;2;2;3;0
12,30,False,32,1.0666666666666667,0.7777777777777778,5;3;3;4;1;4;4;4;2;2
13,30,False,28,0.9333333333333333,0.6666666666666669,5;6;3;3;2;2;3;2;2;0
14,30,False,33,1.1,0.6936026936026938,5;3;5;5;5;4;2;2;2;0
15,30,False,32,1.0666666666666667,0.7986111111111112,4;3;4;4;3;1;3;2;5;3
16,30,False,28,0.9333333333333333,0.634920634920635,4;4;6;4;1;2;2;2;3;0
17,30,False,24,0.8,0.5648148148148149,7;4;3;2;1;1;2;2;2;0
18,11,True,6,0.5454545454545454,0.2592592592592594,2;1;2;1;0;0;0;0;0;0
19,30,False,32,1.0666666666666667,0.7430555555555556,4;6;4;4;3;3;3;3;1;1
20,1,True,0,0.0,1.0,0;0;0;0;0;0;0;0;0;0
21,30,False,25,0.8333333333333334,0.6044444444444446,6;3;3;1;3;4;2;2;1;0
22,1,True,0,0.0,1.0,0;0;0;0;0;0;0;0;0;0
23,30,False,36,1.2,0.6666666666666669,8;3;6;4;3;3;4;3;2;0
24,30,False,30,1.0,0.6444444444444446,5;7;1;4;2;2;3;2;3;1
25,30,False,28,0.9333333333333333,0.7301587301587305,6;2;4;2;1;2;3;3;3;2
26,1,True,0,0.0,1.0,0;0;0;0;0;0;0;0;0;0
27,30,False,31,1.0333333333333334,0.8028673835125449,4;3;4;4;3;2;4;4;2;1
28,30,False,28,0.9333333333333333,0.7460317460317463,5;3;4;3;2;2;2;4;2;1
29,30,False,27,0.9,0.6748971193415638,4;2;5;5;2;3;2;2;2;0
