episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,1,True,0,0.0,1.0,0;0;0;0;0
1,1,True,0,0.0,1.0,0;0;0;0;0
2,1,True,0,0.0,1.0,0;0;0;0;0
3,1,True,0,0.0,1.0,0;0;0;0;0
4,1,True,0,0.0,1.0,0;0;0;0;0
5,1,True,0,0.0,1.0,0;0;0;0;0
6,1,True,0,0.0,1.0,0;0;0;0;0
7,1,True,0,0.0,1.0,0;0;0;0;0
8,1,True,0,0.0,1.0,0;0;0;0;0
9,1,True,0,0.0,1.0,0;0;0;0;0
10,1,True,0,0.0,1.0,0;0;0;0;0
11,1,True,0,0.0,1.0,0;0;0;0;0
12,1,True,0,0.0,1.0,0;0;0;0;0
13,1,True,0,0.0,1.0,0;0;0;0;0
14,1,True,0,0.0,1.0,0;0;0;0;0
15,1,True,0,0.0,1.0,0;0;0;0;0
16,1,True,0,0.0,1.0,0;0;0;0;0
17,1,True,0,0.0,1.0,0;0;0;0;0
18,1,True,0,0.0,1.0,0;0;0;0;0
19,1,True,0,0.0,1.0,0;0;0;0;0
