episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,30,False,17,0.5666666666666667,0.47058823529411753,6;5;0;6;0
1,30,False,17,0.5666666666666667,0.6470588235294117,6;1;4;4;2
2,30,False,18,0.6,0.6388888888888888,5;4;2;6;1
3,30,False,15,0.5,0.7999999999999998,4;4;3;2;2
4,30,False,17,0.5666666666666667,0.823529411764706,4;4;1;4;4
5,30,False,17,0.5666666666666667,0.8823529411764705,5;3;3;3;3
6,30,False,13,0.43333333333333335,0.4999999999999998,5;1;4;3;0
7,30,False,19,0.6333333333333333,0.7631578947368419,4;6;2;4;3
8,30,False,17,0.5666666666666667,0.7941176470588234,5;3;2;4;3
9,30,False,17,0.5666666666666667,0.7647058823529411,4;2;5;4;2
10,30,False,18,0.6,0.4722222222222221,8;3;2;5;0
11,30,False,17,0.5666666666666667,0.7941176470588234,5;4;3;3;2
12,30,False,15,0.5,0.7666666666666666,5;2;3;2;3
13,30,False,18,0.6,0.5555555555555555,7;3;3;5;0
14,30,False,15,0.5,0.6333333333333332,5;5;2;1;2
15,30,False,17,0.5666666666666667,0.5588235294117646,7;2;2;5;1
16,30,False,14,0.4666666666666667,0.7857142857142856,4;2;4;2;2
17,30,False,15,0.5,0.7666666666666666,3;3;5;2;2
18,30,False,19,0.6333333333333333,0.6578947368421053,6;2;5;5;1
19,30,False,19,0.6333333333333333,0.7631578947368419,6;3;4;4;2
