episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,6,True,3,0.5,0.4999999999999998,1;1;0;1;0
1,1,True,0,0.0,1.0,0;0;0;0;0
2,1,True,0,0.0,1.0,0;0;0;0;0
3,1,True,0,0.0,1.0,0;0;0;0;0
4,1,True,0,0.0,1.0,0;0;0;0;0
5,30,False,17,0.5666666666666667,0.8529411764705882,3;4;4;4;2
6,30,False,18,0.6,0.9166666666666667,4;4;3;3;4
7,30,False,19,0.6333333333333333,0.7631578947368419,6;4;3;4;2
8,1,True,0,0.0,1.0,0;0;0;0;0
9,1,True,0,0.0,1.0,0;0;0;0;0
10,1,True,0,0.0,1.0,0;0;0;0;0
11,1,True,0,0.0,1.0,0;0;0;0;0
12,30,True,17,0.5666666666666667,0.7352941176470587,4;3;5;4;1
13,1,True,0,0.0,1.0,0;0;0;0;0
14,1,True,0,0.0,1.0,0;0;0;0;0
15,1,True,0,0.0,1.0,0;0;0;0;0
16,1,True,0,0.0,1.0,0;0;0;0;0
17,1,True,0,0.0,1.0,0;0;0;0;0
18,1,True,0,0.0,1.0,0;0;0;0;0
19,30,False,15,0.5,0.8666666666666667,3;3;3;4;2
