model,condition,episodes,deadlock_rate,deadlock_ci_95,deadlock_count,avg_throughput,throughput_ci_95,avg_fairness,fairness_ci_95,avg_time_to_deadlock,avg_starvation_count,starvation_ci_95,avg_timesteps,total_llm_calls,avg_latency_ms,total_tokens,runtime_seconds
gemini-2.5-flash,seq_n5_nocomm,30,0.0,0.0,0,0.057,0.024,0.746,0.114,,3.73,0.55,15.5,1725,1513.0,628640,662.0
llama-4-maverick,seq_n5_nocomm,30,0.0,0.0,0,0.093,0.028,0.909,0.048,,2.3,0.8,20.0,2400,2490.0,922062,1541.0
random,seq_n5_nocomm,30,0.0,0.0,0,0.048,0.014,0.421,0.139,,3.63,0.39,28.5,3675,0.0,0,2.0
gemini-2.5-flash,sim_n10_nocomm,30,0.1,0.107,3,1.111,0.078,0.66,0.033,15.3,1.03,0.63,28.5,8560,1682.0,3182107,14414.0
llama-4-maverick,sim_n10_nocomm,30,0.167,0.133,5,0.835,0.126,0.73,0.052,3.0,1.93,1.2,25.5,7650,3079.0,2990105,23566.0
random,sim_n10_nocomm,30,0.0,0.0,0,0.591,0.041,0.63,0.033,,1.17,0.31,30.0,9000,0.0,0,6.0
gemini-2.5-flash,sim_n5_comm,30,0.867,0.122,26,0.141,0.08,0.882,0.081,3.0,3.83,0.67,6.6,990,2280.0,505341,2261.0
llama-4-maverick,sim_n5_comm,30,0.933,0.089,28,0.092,0.074,0.944,0.048,2.7,4.3,0.56,4.5,680,3268.0,343393,2224.0
random,sim_n5_comm,30,0.067,0.089,2,0.319,0.026,0.671,0.057,15.5,0.57,0.27,29.0,4355,0.0,0,4.0
gemini-2.5-flash,sim_n5_nocomm,30,0.9,0.107,27,0.146,0.083,0.83,0.102,4.1,3.97,0.62,6.7,1005,1688.0,366796,1699.0
llama-4-maverick,sim_n5_nocomm,30,0.767,0.151,23,0.271,0.105,0.842,0.066,6.2,2.93,0.81,11.8,1765,2774.0,682469,4900.0
random,sim_n5_nocomm,30,0.133,0.122,4,0.303,0.028,0.568,0.065,14.2,0.83,0.33,27.9,4185,0.0,0,3.0
